"","X1","repeat_id","n_exp","true_sex_cond","pb_true","b_sex_cond","b_sex_cond_lower","b_sex_cond_upper","b_sex_cond_error","analysis_type","true_base"
"1",1,1,60,0,0,0.000840543213691038,-0.0128807725501185,0.0144877404952908,0.0144877404952908,"meta-analysis",0
"2",2,1,31,0,1,-0.000762969635283568,-0.0210922077047731,0.0200332724405998,0.0103183669054002,"meta-analysis",0
"3",1,2,60,0,0,-0.000509997853172751,-0.0146626730770064,0.0135453967464876,0.0135453967464876,"meta-analysis",0
"4",2,2,33,0,1,-0.001446384385723,-0.0207779821318266,0.0168303014596911,0.00992134883899693,"meta-analysis",0
"5",1,3,60,0,0,0.00261512664206164,-0.0127419806572515,0.0168912193371366,0.0168912193371366,"meta-analysis",0
"6",2,3,33,0,1,0.005822511527052,-0.0135478806214396,0.0252991312388443,0.0100811100315663,"meta-analysis",0
"7",1,4,60,0,0,0.00306498159941726,-0.0104041505450335,0.0162231662357286,0.0162231662357286,"meta-analysis",0
"8",2,4,34,0,1,0.00238242509625536,-0.0158872918108501,0.0206394326296776,0.00944373379067562,"meta-analysis",0
"9",1,5,60,0,0,0.00146713510023523,-0.012127732250563,0.0148946698602023,0.0148946698602023,"meta-analysis",0
"10",2,5,34,0,1,0.000813111543750734,-0.0175418276056889,0.0194736592438834,0.00934687936204332,"meta-analysis",0
"11",1,1,60,1,0,0.157101323034996,0.143515535465779,0.169934936761937,0.169934936761937,"meta-analysis",0
"12",2,1,21,1,1,0.163488063628548,0.140833501516167,0.186229583138372,0.011786729181215,"meta-analysis",0
"13",1,2,60,1,0,0.158071356167038,0.143788452500084,0.171743458393077,0.171743458393077,"meta-analysis",0
"14",2,2,19,1,1,0.163824072831294,0.138504239437263,0.188069868481927,0.0127746021088352,"meta-analysis",0
"15",1,3,60,1,0,0.159838560505686,0.146487115519443,0.172805393149351,0.172805393149351,"meta-analysis",0
"16",2,3,20,1,1,0.164873695168595,0.140945641180367,0.189839708487069,0.0124723020322973,"meta-analysis",0
"17",1,4,60,1,0,0.157514057401787,0.142832177168966,0.171237215772718,0.171237215772718,"meta-analysis",0
"18",2,4,24,1,1,0.164196905275019,0.142532916737152,0.184089418436542,0.0105978100526667,"meta-analysis",0
"19",1,5,60,1,0,0.150923807238181,0.138073559157161,0.164507983481752,0.164507983481752,"meta-analysis",0
"20",2,5,24,1,1,0.166212129204039,0.145447538318985,0.18845317107066,0.0108530202163914,"meta-analysis",0
"21",1,1,60,2,0,0.26364316255131,0.250021624550218,0.27702007982647,0.27702007982647,"meta-analysis",0
"22",2,1,20,2,1,0.273688329499919,0.250386519413888,0.29634040244344,0.0118056834408228,"meta-analysis",0
"23",1,2,60,2,0,0.268886712191025,0.254933546071156,0.282349246169683,0.282349246169683,"meta-analysis",0
"24",2,2,25,2,1,0.275278979076978,0.25465087235258,0.296270252982387,0.0107353888597837,"meta-analysis",0
"25",1,3,60,2,0,0.265510888501019,0.252629244029594,0.278656579316133,0.278656579316133,"meta-analysis",0
"26",2,3,10,2,1,0.281133456030438,0.243058816827408,0.31800616413357,0.0190469714054447,"meta-analysis",0
"27",1,4,60,2,0,0.276193309054246,0.262311402653961,0.290512359933401,0.290512359933401,"meta-analysis",0
"28",2,4,23,2,1,0.274783855442622,0.253117004490506,0.297443848436467,0.0114509097418918,"meta-analysis",0
"29",1,5,60,2,0,0.26601547047176,0.252191475635317,0.279812998992787,0.279812998992787,"meta-analysis",0
"30",2,5,22,2,1,0.271154037270159,0.24912705345558,0.294477361350101,0.011556199337322,"meta-analysis",0
